text,dominant_distortion,secondary_distortion
"I feel hopeless, so my future is black, and nothing will ever get better.",Emotional Reasoning,Overgeneralization
I'm stressed about how I'm going to pay off this credit card debt.,No Distortion,
"I love my new house, but the faucet leaks, so it's a dump, and nothing I buy ever works.",Mental Filter,Overgeneralization
"I am a coward, and doing that brave thing once doesn't make me brave.",Labeling,Disqualifying the Positive
I'll never find a partner who understands me.,Jumping to Conclusions,
"If I ask him out, he'll reject me and I'll be humiliated forever.",Jumping to Conclusions,All-or-Nothing Thinking
"The review was great, but they noted a typo, so I failed.",Mental Filter,
"I am an idiot, and I'm embarrassing my teachers.",Labeling,Personalization
"I must please everyone, and if I don't, I'm selfish.",Should Statements,Labeling
"He hasn't called, so he hates me, and I must have said something stupid.",Jumping to Conclusions,Personalization
"He loves me, but he doesn't know the real me, and I'm tricking him.",Disqualifying the Positive,Personalization
"I fixed the sink, but I needed a manual, so I'm not handy, and I can never fix anything alone.",Disqualifying the Positive,Overgeneralization
"I didn't finish the last item, so the day was a waste, and I'm ignoring the ten things I did finish.",All-or-Nothing Thinking,Mental Filter
I forgot the name; I'm senile.,Magnification or Minimization,
I feel cynical about the promises made by the new management.,No Distortion,
"I'm either a genius or an idiot, and I feel so stupid today, so I must be an idiot.",All-or-Nothing Thinking,Emotional Reasoning
"I feel confused, so I am stupid.",Emotional Reasoning,
"This line is torture, and I'm focusing entirely on the wait time.",Magnification or Minimization,Mental Filter
I always pick the slowest line at the store.,Overgeneralization,
"The concert was amazing, but the line was long, so I hated it.",Mental Filter,
"I am a toxic person, because I had one fight, and I'm obsessing over it.",Labeling,Mental Filter
"I feel rejected, so I'm an outcast, and society will never accept me.",Emotional Reasoning,Jumping to Conclusions
"I made a typo; I'm unprofessional, and I'm ignoring the rest of the report.",Magnification or Minimization,Mental Filter
"I got a ticket, so I'm always in trouble, and I'm a criminal.",Overgeneralization,Labeling
"I feel lonely, so nobody loves me, and I'll die alone.",Emotional Reasoning,Jumping to Conclusions
I must please everyone.,Should Statements,
"The dinner was tasty, but the service was slow, so I hated it, and waiting was pure torture.",Mental Filter,Magnification or Minimization
"I passed the exam, but I guessed on one, so I don't deserve it.",Mental Filter,
"The team lost; I played badly, and I ought to have practiced more.",Personalization,Should Statements
"They cheered, but they cheer for everyone.",Disqualifying the Positive,
"I am a bad mother, so my kids will grow up to hate me.",Labeling,Jumping to Conclusions
"They clapped, but they were just being polite.",Disqualifying the Positive,
"I failed the quiz, so I'll never learn, because I feel so hopeless about math.",Overgeneralization,Emotional Reasoning
I have a pimple; I look like a monster.,Magnification or Minimization,
People should respect their elders.,Should Statements,
"I look good, but it's just the angle.",Disqualifying the Positive,
I am grieving the loss of my normalcy after the accident.,No Distortion,
"The project failed; I take full responsibility, and the boss will blame me entirely.",Personalization,Jumping to Conclusions
"I passed the test, but I missed one point, so I'm stupid, and I'm a failure.",Mental Filter,Labeling
"The feedback was good, but they noted a typo, so they think I'm illiterate.",Mental Filter,Jumping to Conclusions
"I passed the test, but I missed one point, so I'm stupid, and this is a huge embarrassment.",Mental Filter,Magnification or Minimization
I always pick the broken shopping cart.,Overgeneralization,
My diet is destroyed because I ate a slice of pizza.,All-or-Nothing Thinking,
"I didn't win gold, so I'm a loser, and the silver medal is just a consolation prize.",Magnification or Minimization,Disqualifying the Positive
"All men are liars, because I feel so betrayed and suspicious of everyone.",Overgeneralization,Emotional Reasoning
He hasn't texted back in an hour; he must be cheating on me.,Jumping to Conclusions,
"I am a loser, so everyone laughs at me, and they always will.",Labeling,Overgeneralization
"She rejected me, so nobody wants me, because I am fundamentally unlovable.",Overgeneralization,Personalization
They are whispering; they are talking about my hair.,Jumping to Conclusions,
You're either my best friend or a complete stranger.,All-or-Nothing Thinking,
I am concerned that my savings account isn't growing fast enough.,No Distortion,
This rain is the end of the world.,Magnification or Minimization,
"I feel hopeless, so it's over, and things ought to be different.",Emotional Reasoning,Should Statements
"The boss called me in, so I'm fired, and I'm a failure.",Jumping to Conclusions,Labeling
"I am a loser, so everyone is laughing at me behind my back.",Labeling,Jumping to Conclusions
"My drawing was picked, but the judge has bad taste.",Disqualifying the Positive,
"They are laughing; it's about me, and them waving at me is just a distraction.",Jumping to Conclusions,Disqualifying the Positive
My throat hurts; it's definitely throat cancer.,Jumping to Conclusions,
"If I can't fix this car, I'm useless, and I'll never be good with my hands.",All-or-Nothing Thinking,Overgeneralization
"If I wear this hat, everyone will laugh.",Jumping to Conclusions,
He looks bored; I am boring him.,Personalization,
"It rained on my wedding; I jinxed it, because I feel so responsible for the weather.",Personalization,Emotional Reasoning
"All men are liars, and I'm a magnet for jerks.",Overgeneralization,Labeling
"She rejected me, so nobody wants me, and I'm destined to die alone.",Overgeneralization,Jumping to Conclusions
"She's crying; I hurt her, and the sad movie she's watching doesn't count.",Personalization,Disqualifying the Positive
"The world should be fair, and since it's not, everything is awful.",Should Statements,All-or-Nothing Thinking
It’s just a marathon; lots of people run them.,Magnification or Minimization,
"I didn't get the top award, so my achievement is meaningless.",Magnification or Minimization,All-or-Nothing Thinking
"I look fit, but my calves are small, so I look weak.",Mental Filter,
"They hired someone else, so I never get picked, and I'm a loser.",Overgeneralization,Labeling
"We had a nice walk, but it was humid, so it was miserable, and I chose the wrong time to go.",Mental Filter,Personalization
"I'm nervous about the upcoming surgery, which is a normal reaction.",No Distortion,
I am a loser.,Labeling,
"I feel ugly, so I am hideous, and I'm a troll.",Emotional Reasoning,Labeling
"I feel lonely, so no one cares about me.",Emotional Reasoning,
"The party was fun, but I felt awkward, so the night was ruined, and it was a massive humiliation.",Mental Filter,Magnification or Minimization
"I didn't finish the book, so reading it was a waste of time.",All-or-Nothing Thinking,
"My son failed; it's my fault, and his lack of studying is irrelevant.",Personalization,Disqualifying the Positive
"He hasn't called, so he hates me, and this silence is killing me.",Jumping to Conclusions,Magnification or Minimization
"I must please everyone, and if I say no, they will hate me.",Should Statements,Jumping to Conclusions
